Time,Close
2019/06/11 16:00,1.27124
2019/06/11 17:00,1.27113
2019/06/11 18:00,1.27218
2019/06/11 19:00,1.2726
2019/06/11 20:00,1.27247
2019/06/11 21:00,1.27205
2019/06/11 22:00,1.27218
2019/06/11 23:00,1.2719
2019/06/12 0:00,1.27193
2019/06/12 1:00,1.27214
2019/06/12 2:00,1.27232
2019/06/12 3:00,1.27211
2019/06/12 4:00,1.27187
2019/06/12 5:00,1.27148
2019/06/12 6:00,1.27173
2019/06/12 7:00,1.27197
2019/06/12 8:00,1.27219
2019/06/12 9:00,1.27243
2019/06/12 10:00,1.27365
2019/06/12 11:00,1.27422
2019/06/12 12:00,1.27379
2019/06/12 13:00,1.27372
2019/06/12 14:00,1.27442
2019/06/12 15:00,1.27492
2019/06/12 16:00,1.27324
2019/06/12 17:00,1.27341
2019/06/12 18:00,1.27273
2019/06/12 19:00,1.26973
2019/06/12 20:00,1.26869
2019/06/12 21:00,1.2687
2019/06/12 22:00,1.26838
2019/06/12 23:00,1.26867
2019/06/13 0:00,1.26879
2019/06/13 1:00,1.26903
2019/06/13 2:00,1.26914
2019/06/13 3:00,1.26917
2019/06/13 4:00,1.26988
2019/06/13 5:00,1.26905
2019/06/13 6:00,1.26859
2019/06/13 7:00,1.26899
2019/06/13 8:00,1.26891
2019/06/13 9:00,1.26773
2019/06/13 10:00,1.26789
2019/06/13 11:00,1.26692
2019/06/13 12:00,1.26704
2019/06/13 13:00,1.26699
2019/06/13 14:00,1.26858
2019/06/13 15:00,1.26908
2019/06/13 16:00,1.26915
2019/06/13 17:00,1.26882
2019/06/13 18:00,1.26784
2019/06/13 19:00,1.26773
2019/06/13 20:00,1.26836
2019/06/13 21:00,1.26809
2019/06/13 22:00,1.26762
2019/06/13 23:00,1.26721
2019/06/14 0:00,1.26713
2019/06/14 1:00,1.2678
2019/06/14 2:00,1.26777
2019/06/14 3:00,1.26766
2019/06/14 4:00,1.26711
2019/06/14 5:00,1.26726
2019/06/14 6:00,1.26712
2019/06/14 7:00,1.26738
2019/06/14 8:00,1.26729
2019/06/14 9:00,1.26688
2019/06/14 10:00,1.26648
2019/06/14 11:00,1.26606
2019/06/14 12:00,1.26512
2019/06/14 13:00,1.26401
2019/06/14 14:00,1.26406
2019/06/14 15:00,1.26291
2019/06/14 16:00,1.26204
2019/06/14 17:00,1.26136
2019/06/14 18:00,1.26071
2019/06/14 19:00,1.26074
2019/06/14 20:00,1.25928
2019/06/14 21:00,1.2583
2019/06/14 22:00,1.25809
2019/06/14 23:00,1.25864
2019/06/17 0:00,1.25843
2019/06/17 1:00,1.25903
2019/06/17 2:00,1.25924
2019/06/17 3:00,1.25924
2019/06/17 4:00,1.25948
2019/06/17 5:00,1.25954
2019/06/17 6:00,1.25953
2019/06/17 7:00,1.25928
2019/06/17 8:00,1.25934
2019/06/17 9:00,1.25807
2019/06/17 10:00,1.25767
2019/06/17 11:00,1.25872
2019/06/17 12:00,1.25879
2019/06/17 13:00,1.25956
2019/06/17 14:00,1.25864
2019/06/17 15:00,1.26
2019/06/17 16:00,1.25861
2019/06/17 17:00,1.25571
2019/06/17 18:00,1.25655
2019/06/17 19:00,1.2557
2019/06/17 20:00,1.25478
2019/06/17 21:00,1.2537
2019/06/17 22:00,1.25351
2019/06/17 23:00,1.25319
2019/06/18 0:00,1.25339
2019/06/18 1:00,1.2537
2019/06/18 2:00,1.254
2019/06/18 3:00,1.25376
2019/06/18 4:00,1.25216
2019/06/18 5:00,1.25217
2019/06/18 6:00,1.25203
2019/06/18 7:00,1.25339
2019/06/18 8:00,1.2533
2019/06/18 9:00,1.25393
2019/06/18 10:00,1.25348
2019/06/18 11:00,1.25249
2019/06/18 12:00,1.25273
2019/06/18 13:00,1.25375
2019/06/18 14:00,1.25184
2019/06/18 15:00,1.25196
2019/06/18 16:00,1.25237
2019/06/18 17:00,1.25282
2019/06/18 18:00,1.25513
2019/06/18 19:00,1.25416
2019/06/18 20:00,1.25467
2019/06/18 21:00,1.25578
2019/06/18 22:00,1.25579
2019/06/18 23:00,1.25559
2019/06/19 0:00,1.25525
2019/06/19 1:00,1.25555
2019/06/19 2:00,1.25646
2019/06/19 3:00,1.25627
2019/06/19 4:00,1.2558
2019/06/19 5:00,1.25612
2019/06/19 6:00,1.25606
2019/06/19 7:00,1.25565
2019/06/19 8:00,1.2559
2019/06/19 9:00,1.25471
2019/06/19 10:00,1.25559
2019/06/19 11:00,1.25678
2019/06/19 12:00,1.25741
2019/06/19 13:00,1.25857
2019/06/19 14:00,1.25814
2019/06/19 15:00,1.25923
2019/06/19 16:00,1.25983
2019/06/19 17:00,1.26304
2019/06/19 18:00,1.2624
2019/06/19 19:00,1.26325
2019/06/19 20:00,1.26341
2019/06/19 21:00,1.2662
2019/06/19 22:00,1.26467
2019/06/19 23:00,1.26391
2019/06/20 0:00,1.26405
2019/06/20 1:00,1.26504
2019/06/20 2:00,1.26516
2019/06/20 3:00,1.26732
2019/06/20 4:00,1.26778
2019/06/20 5:00,1.26815
2019/06/20 6:00,1.26857
2019/06/20 7:00,1.26769
2019/06/20 8:00,1.26952
2019/06/20 9:00,1.26972
2019/06/20 10:00,1.27063
2019/06/20 11:00,1.27225
2019/06/20 12:00,1.27108
2019/06/20 13:00,1.27122
2019/06/20 14:00,1.27004
2019/06/20 15:00,1.26794
2019/06/20 16:00,1.2688
2019/06/20 17:00,1.26831
2019/06/20 18:00,1.26967
2019/06/20 19:00,1.27025
