Time,Open,High,Low,Close,Volume
2009/08/13 02:00:00,1.77329,1.77411,1.77305,1.77339,2621
2009/08/13 03:00:00,1.7734,1.77437,1.77301,1.77429,2098
2009/08/13 04:00:00,1.77428,1.7758,1.77403,1.77562,1809
2009/08/13 05:00:00,1.77561,1.77962,1.77549,1.77932,3144
2009/08/13 06:00:00,1.77934,1.78191,1.77735,1.77947,6174
2009/08/13 07:00:00,1.77948,1.78046,1.77783,1.77992,5663
2009/08/13 08:00:00,1.77989,1.7802,1.77844,1.77976,4860
2009/08/13 09:00:00,1.77972,1.78364,1.77944,1.78219,5569
2009/08/13 10:00:00,1.78218,1.78588,1.78199,1.78485,4797
2009/08/13 11:00:00,1.78488,1.78672,1.7835,1.78613,4897
2009/08/13 12:00:00,1.78612,1.78632,1.77835,1.77941,7643
2009/08/13 13:00:00,1.77936,1.77982,1.77653,1.77728,7016
2009/08/13 14:00:00,1.7773,1.77745,1.77566,1.77619,6468
2009/08/13 15:00:00,1.77612,1.77737,1.77491,1.77491,5102
2009/08/13 16:00:00,1.7749,1.77512,1.7725,1.77398,3953
2009/08/13 17:00:00,1.77401,1.77466,1.77106,1.77384,4890
2009/08/13 18:00:00,1.77381,1.77449,1.77216,1.77224,4420
2009/08/13 19:00:00,1.77223,1.77397,1.77192,1.77368,3657
2009/08/13 20:00:00,1.77367,1.77424,1.77318,1.77366,1629
2009/08/13 21:00:00,1.7737,1.77455,1.77252,1.77368,1680
2009/08/13 22:00:00,1.77373,1.77401,1.77284,1.7733,1988
2009/08/13 23:00:00,1.77331,1.77402,1.77239,1.7736,2034
2009/08/14 00:00:00,1.77359,1.77543,1.7732,1.77519,2554
2009/08/14 01:00:00,1.77518,1.77643,1.77444,1.7763,3084
2009/08/14 02:00:00,1.77629,1.77688,1.77528,1.77675,2587
2009/08/14 03:00:00,1.77676,1.77684,1.77403,1.77499,2581
2009/08/14 04:00:00,1.77497,1.77544,1.77428,1.77509,1892
