Time,Open,High,Low,Close,Volume
1993/04/06 00:00:00,2.2517,2.2535,2.25,2.2517,701
1993/04/07 00:00:00,2.2579,2.2589,2.257,2.2579,381
1993/04/11 00:00:00,2.2647,2.2647,2.2647,2.2647,1
1993/04/12 00:00:00,2.2529,2.2529,2.2529,2.2529,1
1993/04/13 00:00:00,2.2621000000000002,2.2621000000000002,2.2621000000000002,2.2621000000000002,1
1993/04/14 00:00:00,2.263,2.2646,2.2615,2.263,621
1993/04/15 00:00:00,2.2552,2.2572,2.2532,2.2552,801
1993/04/18 00:00:00,2.2584,2.2605,2.2563,2.2584,841
1993/04/19 00:00:00,2.2587,2.2597,2.2577,2.2587,401
1993/04/20 00:00:00,2.252,2.2579,2.2461,2.252,2361
1993/04/21 00:00:00,2.252,2.2573,2.2468,2.252,2101
1993/04/22 00:00:00,2.2547,2.2564,2.253,2.2547,681
1993/04/25 00:00:00,2.2548,2.2549,2.2547,2.2548,41
1993/04/26 00:00:00,2.2577,2.2657,2.2498,2.2577,3181
1993/04/27 00:00:00,2.2543,2.2573,2.2513,2.2543,1201
1993/04/28 00:00:00,2.2509,2.2575,2.2443,2.2509,2641
1993/04/29 00:00:00,2.2486,2.2523,2.245,2.2486,1461
1993/05/02 00:00:00,2.2415,2.247,2.2361,2.2415,2181
1993/05/03 00:00:00,2.2251,2.2251,2.2251,2.2251,1
1993/05/04 00:00:00,2.2279,2.2358,2.22,2.2279,3161
1993/05/05 00:00:00,2.2243,2.2303,2.2183,2.2243,2401
1993/05/06 00:00:00,2.2389,2.2457,2.2322,2.2389,2701
1993/05/09 00:00:00,2.2358,2.2389,2.2327,2.2358,1241
1993/05/10 00:00:00,2.2365,2.2488,2.2242,2.2365,4921
1993/05/11 00:00:00,2.2449,2.2485,2.2414,2.2449,1421
1993/05/12 00:00:00,2.2367,2.2488,2.2247,2.2367,4821
1993/05/13 00:00:00,2.2326,2.2326,2.2326,2.2326,1
1993/05/16 00:00:00,2.2379,2.2509,2.225,2.2379,5181
1993/05/17 00:00:00,2.2524,2.2646,2.2402,2.2524,4881
