Time,Open,High,Low,Close,Volume
1993/04/27 00:00:00,1.7611,1.7707,1.7574,1.766,2171
1993/04/28 00:00:00,1.7675,1.7733,1.7635,1.7638,1591
1993/04/29 00:00:00,1.7629,1.7699,1.7605,1.7661,1561
1993/05/02 00:00:00,1.7667,1.7725,1.7626,1.768,1851
1993/05/03 00:00:00,1.7674,1.7706,1.7617,1.7644,1481
1993/05/04 00:00:00,1.7642,1.7669,1.7535,1.7553,1791
1993/05/05 00:00:00,1.7553,1.761,1.7546,1.7555,1261
1993/05/06 00:00:00,1.755,1.7665,1.7535,1.7636,1741
1993/05/09 00:00:00,1.7649,1.7756,1.76,1.7731,2301
1993/05/10 00:00:00,1.7735,1.777,1.7689,1.772,1471
1993/05/11 00:00:00,1.7718,1.7787,1.7708,1.7762,1141
1993/05/12 00:00:00,1.7728,1.7759,1.7635,1.7681,2011
1993/05/13 00:00:00,1.7683,1.7728,1.7659,1.7675,1301
1993/05/16 00:00:00,1.7723,1.7801,1.7657,1.7755,2561
1993/05/17 00:00:00,1.7752,1.7825,1.774,1.781,1121
1993/05/18 00:00:00,1.7824,1.7834,1.7737,1.7747,1171
1993/05/19 00:00:00,1.7765,1.7776,1.771,1.7743,1101
1993/05/20 00:00:00,1.7759,1.7762,1.7638,1.7664,1531
1993/05/23 00:00:00,1.77,1.77,1.7539,1.7569,1911
1993/05/24 00:00:00,1.7569,1.7604,1.7478,1.7498,1811
1993/05/25 00:00:00,1.7502,1.7546,1.7448,1.7479,1731
1993/05/26 00:00:00,1.7475,1.7513,1.7408,1.7448,1831
1993/05/27 00:00:00,1.7448,1.7526,1.7421,1.7477,1811
1993/05/30 00:00:00,1.7479,1.7501,1.746,1.748,811
1993/05/31 00:00:00,1.7471,1.7523,1.745,1.7494,1231
1993/06/01 00:00:00,1.7497,1.7545,1.7396,1.7414,2151
1993/06/02 00:00:00,1.7419,1.751,1.7381,1.7485,1921
1993/06/03 00:00:00,1.7488,1.7612,1.7443,1.76,2261
1993/06/06 00:00:00,1.7594,1.7604,1.7544,1.7561,871
1993/06/07 00:00:00,1.7554,1.7603,1.7486,1.7581,2071
1993/06/08 00:00:00,1.758,1.7638,1.7505,1.7604,2421
1993/06/09 00:00:00,1.7601,1.7607,1.7535,1.7539,821
1993/06/10 00:00:00,1.7541,1.7561,1.7445,1.7467,1581
1993/06/13 00:00:00,1.7471,1.7493,1.7401,1.7469,1821
1993/06/14 00:00:00,1.7469,1.7512,1.7429,1.7481,1541
1993/06/15 00:00:00,1.7466,1.756,1.7449,1.7522,1661
1993/06/16 00:00:00,1.7512,1.7553,1.7445,1.7468,1721
1993/06/17 00:00:00,1.746,1.7504,1.7413,1.7463,1791
1993/06/20 00:00:00,1.7468,1.7472,1.7359,1.7401,1591
1993/06/21 00:00:00,1.7401,1.7535,1.7353,1.7423,3421
1993/06/22 00:00:00,1.7412,1.7457,1.7368,1.7389,1551
